3rd \ 2nd	あ (UBL)	い (UBR)	え (UFL)	か (FLU)	く (FDR)	け (FDL)	さ (LBU)	し (LFU)	す (LDF)	せ (LBD)	た (BDL)	ち (BDR)	つ (BRU)	て (BLU)	に (RBU)	ぬ (RBD)	ね (RDF)	は (DFL)	ひ (DFR)	ふ (DBR)	へ (DBL)
あ (UBL)		[Lw': [R' D2 R, U]]	[R' D' R U': [R' D R, U']]	[Lw' U' D': [R D R', U2]]	[U D: [R D R', U2]]	[D' U: [R D' R', U2]]		[R' U R' U': [U2, R D R']]	[U2, R' D R]	[U: [R D' R', U2]]	[U D': [R D R', U2]]	[U D: [R D' R', U2]]	[R' U' D: [R D R', U2]]		[R' U D R: [D', R U' R']]	[U: [R D R', U2]]	[U2, R' D' R]	[R F' R' U': [U2, R D R']]	[R2: [R2 D R2 D' R2, U]]	[R D' R': [U2, R' D R]]	[R' U D R': [R' D R, U]]
い (UBR)	[Lw': [U, R' D2 R]]		[R F R': [U, R' D' R]]	[R: [R D R', U2]]	[D': [U, R' D R]]	[D: [U, R' D' R]]	[R: [R D R', U]]	[R': [U', R' D' R]]	[U, R' D R]	[R D' R', U']	[D: [U, R' D R]]	[D: [R D' R', U']]		[R': [U2, R' D' R]]		[R D R', U']	[U, R' D' R]	[R F': [D, R' U' R]]	[U, R' D R U' R D' R']	[R D' R' U R' D R, U']	[R' B: [R U R', D']]
え (UFL)	[R' D' R U2: [R' D R, U]]	[R F R': [R' D' R, U]]			[D': [U', R' D R]]	[D: [U', R' D' R]]	[U' R: [U2, R D R']]		[U', R' D R]	[U2: [R D' R', U]]	[D: [U', R' D R]]	[D': [U', R' D' R]]	[R' D': [R' D R, U']]	[U' R': [R' D' R, U']]	[U' R': [R' D' R, U2]]	[U2: [R D R', U]]	[U', R' D' R]	[U' x': [D2, R U R']]	[U', R' D R U' R D' R']	[R D' R': [U', R' D R]]	[R' D' R: [D, R U' R']]
か (FLU)	[Lw' D' U: [R D R', U2]]	[R: [U2, R D R']]			[R': [F2, R D' R' D]]	[R U': [R' D R, U2]]	[Lw' U: [R D' R', U2]]		[D R': [F2, R D' R' D]]	[D R U': [R' D R, U2]]	[D' R D' U': [R' D R, U2]]	[R U': [R' D' R, U2]]	[R D' U': [R' D' R, U2]]	[R U R' D': [R' D R, U2]]	[R': [R2 D' R2 D R2, U']]	[R D' U': [R' D R, U2]]	[D R U': [R' D' R, U2]]	[R U D: [U2, R' D' R]]	[D' R U D: [U2, R' D' R]]	[D R: [U2, R D' R']]	[R: [U2, R D' R']]
く (FDR)	[D U': [R D R', U2]]	[D': [R' D R, U]]	[D': [R' D R, U']]	[R': [R D' R' D, F2]]		[D' R' D: [F', D' R D R']]	R U' R' F R U R' U' R' F' R U	[R: [F, R' U R U']]	[U: [D, R U' R']]	[U R U': [R D' R', U']]	[U D2: [R U' R', D2]]	[D R D': [R' U' R, D2]]	[D' R' U: [D, R U' R']]	[D R' U2: [R' D' R, U']]	[U' R' U': [R D R', U2]]	[U: [D', R U' R']]		[R: [F2, R' U R U']]		[U R D': [R' D R, U']]	[U' D R': [U, R' D R]]
け (FDL)	[D' U': [R D' R', U2]]	[D: [R' D' R, U]]	[D: [R' D' R, U']]	[R U: [R' D R, U2]]	[R': [F', R D' R' D]]		[R U: [R' D R, U]]	[D R' U': [D', R U R']]		[D2: [R U R', D']]	[D' R D: [R' U' R, D2]]	[D': [R U R', D2]]	[R' F: [D, R U' R']]	[D R': [R' U R, D]]	[U R U' D: [R' D' R, U2]]	[R D: [R' U' R, D]]	[R U R', D]		[R U' R': [U2, R' D R]]	[D R: [U', R D' R']]	[D R D: [R' D' R, U]]
さ (LBU)		[R: [U, R D R']]	[U' R: [R D R', U2]]	[Lw' U': [R D' R', U2]]	U' R' F R U R U' R' F' R U R'	[R U: [U, R' D R]]		[U' R' U, L]	[U R': [R' D R, U']]	[R D': [U, R D R']]	[U D R': [R' D R, U']]	[R U: [U, R' D' R]]	[F' L F, R']		[R: [U, R2 D R2 D' R2]]	[R D: [U, R D R']]	[U R' U': [R D R', U']]	[D' R: [U, R D' R']]	[U R' D': [R' D' R, U']]	[D R: [U, R D' R']]	[R: [U, R D' R']]
し (LFU)	[R' U R' U': [R D R', U2]]	[R': [R' D' R, U']]			[R: [R' U R U', F]]	[D R' U': [R U R', D']]	[L, U' R' U]		[R' U': [R U R', D]]	[U' R U': [R' U R, D']]	[D R' U': [R U R', D]]	[D' R' U': [R U R', D']]	[R' F: [D, R U R']]	[x': [D, R U' R']]	[R U' D' R': [R' U R, D]]	[R' U': [U2, R' D' R]]	[R' U': [R U R', D']]	[U' R' U: [D, R U' R']]	[R U' R': [U2, R' D' R]]	[R U' R': [R' U R, D]]	[U' D R' U: [D, R U' R']]
す (LDF)	[R' D R, U2]	[R' D R, U]	[R' D R, U']	[D R': [R D' R' D, F2]]	[U: [R U' R', D]]		[U R': [U', R' D R]]	[R' U': [D, R U R']]		[D R': [R D' R' D, F']]	[U D: [D, R U' R']]	[R' D R: [R U R', D']]	[R' U: [D, R U' R']]	[U' R' D: [R' D' R, U']]	[U R U': [R' D R, U2]]	[U D': [R U' R', D2]]	[U R' D': [R U' R', D2]]		[U D R D': [R' D R, U']]	[U R: [R U' R', D]]	[D R: [F2, R' U R U']]
せ (LBD)	[U': [R D' R', U2]]	[U', R D' R']	[U': [R D' R', U']]	[D R U: [R' D R, U2]]	[U R U2: [R D' R', U]]	[D: [R U R', D]]	[R D': [R D R', U]]	[U' R U': [D', R' U R]]	[D R': [F', R D' R' D]]			[D': [R U R', D']]	[R, U' L U]	[U2 R: [U, R D' R']]	[U R: [U2, R D' R']]	[R D: [R' U' R, D2]]	[R U R', D2]	[R D R' D: [D2, R U R']]	[D2 R: [U', R D' R']]	[R D' R': [U, R' D R]]	
た (BDL)	[D' U': [R D R', U2]]	[D: [R' D R, U]]	[D: [R' D R, U']]	[D R' D: [F2, D' R D R']]	[U: [R U' R', D2]]	[D' R D': [R' U' R, D2]]	[U D R': [U', R' D R]]	[D R' U': [D, R U R']]	[U D: [R U' R', D]]			[D' R D': [U, R' D R]]	[D R' U: [D, R U' R']]	[U' R' U': [R D' R', U']]	[U' R' U': [R D' R', U2]]	[U': [R' U' R, D']]	[U R' D': [R U' R', D']]	[U' D' R': [U, R' D2 R]]	[U' D' R': [U, R' D R]]	[U R: [R U' R', D2]]	
ち (BDR)	[D U': [R D' R', U2]]	[D': [R' D' R, U]]	[D': [R' D' R, U']]	[R U: [R' D' R, U2]]	[D R D: [R' U' R, D2]]	[D: [R U R', D2]]	[R U: [R' D' R, U]]	[D' R' U': [D', R U R']]	[R' D R: [D', R U R']]	[D2: [R U R', D]]	[D' R D': [R' D R, U]]		[R U': [R' U R, D]]	[D' R': [R' U R, D]]	[U D R: [U2, R D' R']]		[R U R', D']	[D' R: [U', R D' R']]	[D' R D: [R' D' R, U]]		[R U' D': [R' U R, D2]]
つ (BRU)	[R' U D: [R D R', U2]]		[R' D': [U', R' D R]]	[R U D': [R' D' R, U2]]	[D' R' U: [R U' R', D]]	[R' F: [R U' R', D]]	[R', F' L F]	[R' F: [R U R', D]]	[R' U: [R U' R', D]]	[U' L U, R]	[D R' U: [R U' R', D]]	[R U': [D, R' U R]]		[U' L' U, R]		[U' R U: [R' U' R, D]]	[R' U: [R U' R', D']]	[D' R U': [D', R' U R]]	[U R' U': [D', R U R']]	[D R U': [D', R' U R]]	[R U': [D', R' U R]]
て (BLU)		[R2: [D', R U2 R']]	[U' R': [U', R' D' R]]	[R U R' D': [U2, R' D R]]	[D R' U2: [U', R' D' R]]	[D R': [D, R' U R]]		[x': [R U' R', D]]	[U' R' D: [U', R' D' R]]	[U2 R: [R D' R', U]]	[U' R' U2: [R D' R', U]]	[D' R': [D, R' U R]]	[R, U' L' U]		[U R: [U2, R D R']]	[R' U: [R' D' R, U]]	[R': [D, R' U R]]	[U' R': [U', R' D R]]	[U' D' R': [U', R' D R]]	[U R: [R U' R', D']]	[U' D R': [U', R' D R]]
に (RBU)	[R' U' D' R': [U', R' D R]]		[U' R': [U2, R' D' R]]	[R': [U', R2 D' R2 D R2]]	[U' R' U: [R D R', U2]]	[U R U D: [R' D' R, U2]]	[R: [R2 D R2 D' R2, U]]	[R U' D' R': [D, R' U R]]	[U R U: [R' D R, U2]]	[U R: [R D' R', U2]]	[U' R' U: [R D' R', U2]]	[U D R: [R D' R', U2]]		[U R: [R D R', U2]]		[U R U: [R' D' R, U2]]	[U' R' U' D: [U2, R D' R']]	[U' R': [U2, R' D R]]	[U' D' R': [U2, R' D R]]	[U R U D': [R' D R, U2]]	[U' D R': [U2, R' D R]]
ぬ (RBD)	[U': [R D R', U2]]	[U', R D R']	[U': [R D R', U']]	[R D' U': [U2, R' D R]]	[U: [R U' R', D']]	[R D: [D, R' U' R]]	[R D: [R D R', U]]	[R' U': [R' D' R, U2]]	[U D: [R U' R', D2]]	[R D': [R' U' R, D2]]	[U': [D', R' U' R]]		[U' R U: [D, R' U' R]]	[R' U: [U, R' D' R]]	[U R U': [R' D' R, U2]]		[R D': [U, R' D R]]	[U' R': [U, R' D R]]	[R U' D' R': [U2, R' D R]]		[U' R': [U, R' D2 R]]
ね (RDF)	[R' D' R, U2]	[R' D' R, U]	[R' D' R, U']	[D R U: [R' D' R, U2]]		[D, R U R']	[U R' U2: [R D R', U]]	[R' U': [D', R U R']]	[U R' D: [R U' R', D2]]	[D2, R U R']	[U R' D2: [R U' R', D]]	[D', R U R']	[R' U: [D', R U' R']]	[R': [R' U R, D]]	[U' R' U' D: [R D' R', U2]]	[R D': [R' D R, U]]		[R D: [R' D' R, U]]		[R: [R' D R U' R D' R', U]]	[R: [U', R D' R']]
は (DFL)	[R F' R' U': [R D R', U2]]	[R F': [R' U' R, D]]	[U' x': [R U R', D2]]	[R U D: [R' D' R, U2]]	[R: [R' U R U', F2]]		[D' R: [R D' R', U]]	[U' R' U: [R U' R', D]]		[R D R' D: [R U R', D2]]	[U' D' R': [R' D2 R, U]]	[D' R: [R D' R', U']]	[D' R U': [R' U R, D']]	[U' R': [R' D R, U']]	[U' R': [R' D R, U2]]	[U' R': [R' D R, U]]	[R D: [U, R' D' R]]		[U' R' F': [D', R U' R']]	[U' R2: [D, R2 U R2 U' R2]]	[R U' D': [R' U R, D']]
ひ (DFR)	[R2: [U, R2 D R2 D' R2]]	[R' D R U' R D' R', U]	[R' D R U' R D' R', U']	[D' R U D: [R' D' R, U2]]		[R U' R': [R' D R, U2]]	[U R' D': [U', R' D' R]]	[R U' R': [R' D' R, U2]]	[U D R D': [U', R' D R]]	[D2 R: [R D' R', U']]	[U' D' R': [R' D R, U]]	[D' R D: [U, R' D' R]]	[U R' U': [R U R', D']]	[U' D' R': [R' D R, U']]	[U' D' R': [R' D R, U2]]	[R U' D' R': [R' D R, U2]]		[U' R' F': [R U' R', D']]		[D', R2 U R2 U' R2]	[R U' R' U: [U2, R D' R']]
ふ (DBR)	[D' R2: [U, R2 D R2 D' R2]]	[U', R D' R' U R' D R]	[R D' R': [R' D R, U']]	[D R: [R D' R', U2]]	[U R D': [U', R' D R]]	[D R: [R D' R', U']]	[D R: [R D' R', U]]	[R U' R': [D, R' U R]]	[U R: [D, R U' R']]	[R D' R': [R' D R, U]]	[U R: [D2, R U' R']]		[D R U': [R' U R, D']]	[U R: [D', R U' R']]	[U R U' D': [R' D R, U2]]		[R: [U, R' D R U' R D' R']]	[R2 U' R2: [D, R2 U R2 U' R2]]	[R2 U R2 U' R2, D']		[R U' R': [D', R' U R]]
へ (DBL)	[R' U D R': [U, R' D R]]	[R' B: [D', R U R']]	[R' D' R: [R U' R', D]]	[R: [R D' R', U2]]	[U' D R': [R' D R, U]]	[D R D: [U, R' D' R]]	[R: [R D' R', U]]	[U' D R' U: [R U' R', D]]	[D R: [R' U R U', F2]]			[R U' D: [R' U R, D2]]	[R U': [R' U R, D']]	[U' D R': [R' D R, U']]	[U' D R': [R' D R, U2]]	[R2 D2: [R U R', D]]	[R: [R D' R', U']]	[R U' D2: [R' U R, D]]	[R U' R' U: [R D' R', U2]]	[R U' R': [R' U R, D']]	