3rd \ 2nd	あ (UB)	い (UR)	え (UL)	き (FR)	く (FD)	け (FL)	さ (LU)	し (LF)	す (LD)	せ (LB)	た (BD)	ち (BR)	つ (BU)	て (BL)	な (RU)	に (RB)	ぬ (RD)	ね (RF)	は (DF)	ひ (DR)	ふ (DB)	へ (DL)
あ (UB)		[R2 U': [R2, S]]	[L2 U: [L2, S']]	[R' U': [R2, S]]	[R' F': [E, R U R']]	[L U: [L2, S']]	[U' M U': [U2, M']]	[U: [R' E R, U2]]	[U': [L' E' L, U2]]	[U: [R E' R', U2]]	[U' M' U: [M', U2]]	[R U': [R2, S]]		Rw' F Rw2 E Rw2 E F' Rw	[U M U': [M', U2]]	[U': [L' E L, U2]]	[U: [R E R', U2]]	[U': [L E' L', U2]]	[M', U2]	[U': [R2, S]]	[U2, M]	[U: [L2, S']]
い (UR)	[R2 U': [S, R2]]		[M2 U': [M, U2]]	[E': [R' E R, U']]	[R: [U' R' U, M']]	[R E2 R', U']	[L F' L', S']	[R' E R, U']	[U2: [L' E' L, U']]	[R E' R', U']	M U' M' U' M U' M' U'	[E: [R E' R', U']]	[U: [S, R' F R]]	[R' E2 R, U']		[U2: [L' E L, U']]	[R E R', U']	[U2: [L E' L', U']]	[U, M U2 M]	R E' R2 E R U' R' E' R2 E R' U	[R: [U' R' U, M2]]	L U L' U' L' U' L' U L U
え (UL)	[L2 U: [S', L2]]	[M2 U: [M, U2]]		[L' E2 L, U]	[L': [U L U', M']]	[E: [L E' L', U]]		[U2: [R' E R, U]]	[L' E' L, U]	[U2: [R E' R', U]]	M U M' U M U M' U	[L E2 L', U]	[U': [S', L F' L']]	[E': [L' E L, U]]	[R' F R, S]	[L' E L, U]	[U2: [R E R', U]]	[L E' L', U]	[R' F: [R S R', F2]]	R' U' R U R U R U' R' U'	D' R' U' R U R U R U' R' U' D	[Rw' F' Rw: [S', L2]]
き (FR)	[R' U': [S, R2]]	[E': [U', R' E R]]	[U, L' E2 L]		[U' R U, M']	[R' U' R': [E, R2]]	[S' U L': [E', L2]]	[E, R U' R']	[R U2: [R' S R, U']]	[R: [R E' R', U']]	[U L B': [L2, E']]	[U R: [S, R2]]	[U' R U, M]	[R' U' R: [E', R2]]	[R' U' E' R': [E, R2]]	[E', R U' R']	[D': [U' R U, M']]		[U R U': [M', U2]]	U2 R U' R' U' R' U' R U R U'	[U' R U, M2]	[U L': [E', L2]]
く (FD)	[R' F': [R U R', E]]	[M', R U' R' U]	[M', L' U L U']	[M', U' R U]		[M', U L' U']	[Lw': [M', U' L U]]	[M2: [U' L' U, M]]	[U: [S', R' D' R]]	[U' M': [U', R E' R']]	[U: [M U M', Dw2]]	[M', U' R' U]	[U': [R' F' R, S]]	[M', U L U']	[Rw: [M', U R' U']]	[M2: [U R' U', M]]	[U': [R' F' R, S']]	[M2: [U R U', M]]		[U R' F' R: [S, R2]]	[D: [S', R F R']]	[U' L F L': [S', L2]]
け (FL)	[L U: [S', L2]]	[U', R E2 R']	[E: [U, L E' L']]	[R' U' R: [E, R2]]	[U L' U', M']		[Rw' F2: [Rw S Rw', F]]		[S' U' R: [E, R2]]	[E, L' U L]	[U' R' B: [R2, E]]	[R U' R: [E, R2]]	[U': [R' F2 R, S]]	U' Rw' E' Rw2 E' Rw' U	[M': [U, Rw' E Rw]]	[L': [L' E L, U]]	[R E: [R' U' R, E]]	[Rw U Rw', E]	[U' L' U: [M', U2]]	[U' R: [E, R2]]	[U L' U', M2]	U2 L' U L U L U L' U' L' U
さ (LU)	[U' M U': [M', U2]]	[S', L F' L']		[S' U L: [E', L2]]	[Lw': [U' L U, M']]	[Rw' F': [Rw S Rw', F']]		[S: [R' E R, U']]	[Lw D L: [S, L2]]	[S: [R E' R', U']]	M2 U' M U' M' U' M U' M	[M': [L' E L, U']]	[L': [M', U' L U]]	[L' Uw L: [E, L2]]	[M U': [M', U2]]	[F R': [S, R2]]	[R' F R': [S, R2]]	[R M U': [M', U2]]	[L' F': [E', L2]]	[L: [L S L', F']]	[Lw': [U' L U, M2]]	[S, L F' L']
し (LF)	[U': [R' E R, U2]]	[U', R' E R]	[U': [R' E R, U']]	[R U' R', E]	[M': [U' L' U, M']]		[S: [U', R' E R]]		[U S' U', L]	M' U Rw' E' Rw2 E' Rw' U' M	[U' M: [R' E R, U]]	[R': [U', R' E R]]	[M', U' L' U]	[L U L', E']	[M L' U': [M', U2]]	[Rw U R: [E, R2]]	[M' U R: [E, R2]]	U' E' Rw E Rw2 E Rw E U	[U R' F': [R S R', F']]	[U' E' R': [E', R2]]	[M': [U' L' U, M2]]	[U E L': [E', L2]]
す (LD)	[U: [L' E' L, U2]]	[U: [L' E' L, U]]	[U, L' E' L]	[D: [M', U' R U]]	[U: [R' D' R, S']]	[S' U' R': [E, R2]]	[Lw D L': [S, L2]]	[L, U S' U']		[L', U S' U']	[U' Lw: [R E' R', U]]	[D: [M', U' R' U]]	[L': [M', U' L' U]]	[S' U' R: [E', R2]]	[U: [S, L F' L']]	[F R: [S', R2]]	[R' F R: [S', R2]]	[M' U' L: [E', L2]]	[L F: [L2, E']]	[S, L' F' L]	[U: [L B' L', S']]	
せ (LB)	[U': [R E' R', U2]]	[U', R E' R']	[U': [R E' R', U']]	[R: [U', R E' R']]	[M': [U' L U, M']]	[R E': [E', R' U' R]]	[S: [U', R E' R']]	M' U Rw E Rw2 E Rw U' M	[U S' U', L']		[U' M: [R E' R', U]]	[R' U' R, E']	[M', U' L U]		[R F: [E', R2]]	[Uw R': [S, R2]]	[M' U R': [E', R2]]	[E' R U' R: [R2, E]]	[Lw' U: [L2, S']]	[Uw' R: [E, R2]]	[M': [U' L U, M2]]	[Uw L: [E, L2]]
た (BD)	[U M' U: [M', U2]]	U M U M' U M U M'	U' M U' M' U' M U' M'	[U L B': [E', L2]]	U M' U' M U2 M U M' U	[U' R' B: [E, R2]]	M' U M' U M U M' U M2	[U' M: [U, R' E R]]	[U' Lw: [U, R E' R']]	[U' M: [U, R E' R']]		[U2: [M, U R' U']]	[U': [Lw U Lw', S]]	[U2: [M, U' L U]]	M' U' M' U' M U' M' U' M2	[U M: [U', Lw' E Lw]]	[U' Rw': [R U R', E']]	[U M: [U', L E' L']]	[D': [S', R F R']]	[D' R' F': [R2, E]]		[U' R' B R': [S', R2]]
ち (BR)	[R U': [S, R2]]	[Uw': [R E' R', U]]	[U, L E2 L']	[U R': [S, R2]]	[U' R' U, M']	[R U' R': [E, R2]]	[M': [U', L' E L]]	[R': [R' E R, U']]	[D: [U' R' U, M']]	[E', R' U' R]	[U': [R', U' M U]]		[U' R' U, M]	[R U' R: [E', R2]]	[R Uw' R: [E', R2]]		[D': [U' R' U, M']]	[E, R' U' R]	[U R' U': [M', U2]]	R' U R U R U R' U' R' U'	[U' R' U, M2]	[U L: [E, L2]]
つ (BU)		[U: [R' F R, S]]	[U': [L F' L', S']]	[M, U' R U]	[U': [S, R' F' R]]	[U': [S, R' F2 R]]	[L': [U' L U, M']]	[U' L' U, M']	[L': [U' L' U, M']]	[U' L U, M']	[U': [S, Lw U Lw']]	[M, U' R' U]		[M, U L U']	[R: [U R' U', M']]	[U R' U', M']	[R: [U R U', M']]	[U R U', M']	[U: [R' F' R, S]]	[Rw': [U' R' U, M']]	[U: [Lw U Lw', S]]	[Lw: [U L U', M']]
て (BL)	[L' U: [S', L2]]	[U', R' E2 R]	[Uw: [L' E L, U']]	[R' U' R': [E', R2]]	[U L U', M']	U' Rw E Rw2 E Rw U	[L' Uw L: [L2, E]]	[E', L U L']	[S' U' R': [E', R2]]		[U: [L, U M U']]	[R U' R': [E', R2]]	[U L U', M]		[M': [U, R E' R']]	[E, L U L']	[R' E': [R U' R', E']]	[L: [L E' L', U]]	[U' L U: [M', U2]]	[U' R': [E', R2]]	[U' D' R': [E', R2]]	L U' L' U' L' U' L U L U
な (RU)	[U M U: [M', U2]]		[S, R' F R]	[R' U' E' R: [E, R2]]	[Rw: [U R' U', M']]	[S U' R: [R2, E]]	[M U: [M', U2]]	[M L' U: [M', U2]]	[U: [L F' L', S]]	[R F: [R2, E']]	M2 U M U M' U M U M	[R Uw' R': [E', R2]]	[R: [M', U R' U']]	[M': [R E' R', U]]		[S': [L' E L, U]]	[Rw' D' R': [S', R2]]	[S': [L E' L', U]]	[R F: [E, R2]]	[S', R' F R]	[Rw: [U R' U', M2]]	[R': [R' S' R, F]]
に (RB)	[U: [L' E L, U2]]	[U: [L' E L, U]]	[U, L' E L]	[R U' R', E']	[M': [U R' U', M']]	[L': [U, L' E L]]	[L' F': [E, L2]]	[Rw U R': [E, R2]]	[F R': [S', R2]]	[Uw' L: [S', L2]]	[U M: [Lw' E Lw, U']]		[M', U R' U']	[L U L', E]	[S': [U, L' E L]]		[U' S U, R]	[M' U' R': [S, R2]]	[Rw U': [R2, S]]	[Uw' R': [E', R2]]	[M': [U R' U', M2]]	[Uw L': [E', L2]]
ぬ (RD)	[U': [R E R', U2]]	[U', R E R']	[U': [R E R', U']]	[R' Fw R': [S', R2]]	[U': [S', R' F' R]]	[U': [S', R' F2 R]]	[R' F R: [S, R2]]	[M' U R': [E, R2]]	[R' F R': [S', R2]]	[M' U R: [E', R2]]	[U' Rw': [E', R U R']]	[D': [M', U' R' U]]	[R: [M', U R U']]	[R' E2: [R U' R', E]]	[Rw' D' R: [S', R2]]	[R, U' S U]		[R', U' S U]	[R' F': [R2, E]]		[U': [R' B R, S]]	[S', R F R']
ね (RF)	[U: [L E' L', U2]]	[U: [L E' L', U]]	[U, L E' L']		[M': [U R U', M']]	[E, Rw U Rw']	[R M U: [M', U2]]	[U E R': [S, R2]]	[M' U' L': [E', L2]]	[E' R U' R: [E, R2]]	[U Lw: [E', L' U' L]]	[R' U' R, E]	[M', U R U']	[L: [U, L E' L']]	[S': [U, L E' L']]	[E R U' R: [E', R2]]	[U' S U, R']		[R2 F: [E, R2]]	[U' E' R: [E, R2]]	[M': [U R U', M2]]	[U E L: [E, L2]]
は (DF)	[U2, M']	[M U2 M, U]	[R' F': [R S R', F2]]	R' Fw2 R2 U' R2 Fw2 R2 U' R'		U' L' U' M' U2 M U' L U	[L' F': [L2, E']]	[U R' F2: [R S R', F]]	[L F: [E', L2]]	[Lw' U: [S', L2]]	[D': [R F R', S']]	[U R' U: [M', U2]]	[U: [S, R' F' R]]	[U' L U': [M', U2]]	[R F: [R2, E]]	[Rw U': [S, R2]]	[R' F': [E, R2]]	[R2 F: [R2, E]]		[R' F': [R S' R', F2]]	[M': [U2, M']]	[R' F': [R' S' R, F2]]
ひ (DR)	[U': [S, R2]]	U' R E' R2 E R U R' E' R2 E R'	U R U R' U' R' U' R' U R	U R' U' R' U R U R U R' U2	[U R' F' R: [R2, S]]	[U' R': [E, R2]]	[L: [F', L S L']]	[U' E' R: [E', R2]]	[L' F' L, S]	[Uw' R': [E, R2]]	[D' R' F': [E, R2]]	U R U R U' R' U' R' U' R	[R': [U' R' U, M]]	[U' R: [E', R2]]	[R' F R, S']	[Uw' R: [E', R2]]		[U' E' R': [E, R2]]	[R' F: [R S' R', F2]]		[S' Rw: [U R' U', M2]]	[U': [R2, S']]
ふ (DB)	[M, U2]	[Rw M': [U' R' U, M2]]	D' U R U R' U' R' U' R' U R D	[M2, U' R U]	[D: [R F R', S']]	[D' U' R': [E, R2]]	[L' M: [U' L U, M2]]	[M: [U' L' U, M2]]	[U: [S', L B' L']]	[M: [U' L U, M2]]		[M2, U' R' U]	[U: [S, Lw U Lw']]	[U' D' R': [R2, E']]	[R M: [U R' U', M2]]	[M: [U R' U', M2]]	[U': [S, R' B R]]	[M: [U R U', M2]]	Uw2 M' Uw2 M'	[D' R' F: [R S' R', F2]]		U' R' D' R D R D R D' R' U D'
へ (DL)	[U: [S', L2]]	[S' R' F R: [S, R2]]	L U' Rw E Rw2 E Rw U L'	[U L: [E', L2]]	[U' L F L': [L2, S']]	D U' L' U' M' U2 M U' L U D'	[L F' L', S]	[U E L: [E', L2]]		[Uw L': [E, L2]]	[U' R' B R: [S', R2]]	[U L': [E, L2]]	[L: [U L U', M]]	U' L' U' L' U L U L U L'	[R': [F, R' S' R]]	[Uw L': [L2, E']]	[R F R', S']	[U E L': [E, L2]]	[R' F: [R' S' R, F2]]	[U: [L2, S]]	U' D R D R' D' R' D' R' D R U	